,hometheatre_names,hometheatre_prices,hometheatre_offers
0,Gizmore GIZ SURROUND 5150 50 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹3,299</div>",<span>34% off</span>
1,Gizmore GIZ SQUAD 4150 30 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹2,499</div>",<span>37% off</span>
2,ZEBRONICS ZEB-FEEL 4 60 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹2,499</div>",<span>24% off</span>
3,Intex IT-XM BANG SUFB 78 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹3,699</div>",<span>18% off</span>
4,ZEBRONICS BT4440 RUCF 60 Watt Bluetooth Home Theatre,"<div class=""_30jeq3"">₹3,199</div>",<span>25% off</span>
5,Intex 2622 55 W Portable Bluetooth Home Theatre,"<div class=""_30jeq3"">₹2,699</div>",<span>12% off</span>
6,F&D F550X 56 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹4,799</div>",<span>10% off</span>
7,Edifier T5 Powered Subwoofer 70 W Home Theatre,"<div class=""_30jeq3"">₹8,991</div>",<span>44% off</span>
8,KRISONS Polo Red 7.1 |Home Theater 7.1|Bluetooth|AUX|FM...,"<div class=""_30jeq3"">₹2,790</div>",<span>33% off</span>
9,F&D A140X 37 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹3,299</div>",<span>54% off</span>
10,etmax NANO PLUS 30 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹948</div>",<span>3% off</span>
11,SAREGAMA Carvaan 6 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹6,190</div>",<span>3% off</span>
12,Intex IT-2616 BT 55 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹2,599</div>",<span>5% off</span>
13,SONY SA-D40 80 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹9,490</div>",<span>50% off</span>
14,"KRISONS Thunder, Tower Speaker System | Bluetooth Suppo...","<div class=""_30jeq3"">₹2,490</div>",<span>28% off</span>
15,Edifier A3-8I Party Speaker 8 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹7,191</div>",<span>6% off</span>
16,iball Raaga Classic 14 W Laptop/Desktop Speaker,"<div class=""_30jeq3"">₹2,049</div>",<span>77% off</span>
17,ZSIV 10W Dj Mini Speaker 3D Bass New Arrival Wireless B...,"<div class=""_30jeq3"">₹444</div>",<span>21% off</span>
18,ZEBRONICS INDIE 105 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹5,699</div>",<span>58% off</span>
19,SAREGAMA Carvaan Marathi 6 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹6,390</div>",<span>20% off</span>
20,etmax NANO SHARK Black ET-1616 35 W Bluetooth Home Thea...,"<div class=""_30jeq3"">₹949</div>",<span>2% off</span>
21,F&D A521X 52 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹4,345</div>",<span>3% off</span>
22,SAREGAMA Carvaan Premium 10 W Portable Bluetooth Home A...,"<div class=""_30jeq3"">₹6,790</div>",<span>57% off</span>
23,SAREGAMA Carvaan Tamil 6 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹5,990</div>",<span>6% off</span>
24,LOUDSY HD Ultra Powerful Crystal Dynamic Quality sound ...,"<div class=""_30jeq3"">₹3,799</div>",<span>28% off</span>
25,SONY SA-D20 60 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹7,450</div>",<span>58% off</span>
26,I Kall IK- 666 Bluetooth 80 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹2,149</div>",<span>66% off</span>
27,FLORID Star 11 Water Resistance Portable Bluetooth Wire...,"<div class=""_30jeq3"">₹1,448</div>",<span>30% off</span>
28,Musify Trending Latest Led Bulb With Bluetooth Speaker ...,"<div class=""_30jeq3"">₹397</div>",<span>66% off</span>
29,PHILIPS SPA8140B/94 38 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹4,490</div>",<span>3% off</span>
30,CIHLEX New Good Quality Wooden Wireless Speaker with wi...,"<div class=""_30jeq3"">₹499</div>",<span>62% off</span>
31,SAREGAMA Carvaan Bengali 6 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹6,290</div>",<span>29% off</span>
32,BAGATELLE Ultra 3D BASS Portable wireless karaoke speak...,"<div class=""_30jeq3"">₹449</div>",<span>68% off</span>
33,Bencley FRIDOBLE 120 W Bluetooth Tower Speaker,"<div class=""_30jeq3"">₹5,989</div>",<span>2% off</span>
34,Sulfur NEW ARRIVAL |3D sound| Splash proof| Water resis...,"<div class=""_30jeq3"">₹474</div>",<span>3% off</span>
35,SAREGAMA Carvaan Premium 10 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹6,790</div>",<span>51% off</span>
36,SAREGAMA Carvaan 6 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹6,290</div>",<span>67% off</span>
37,Eccellente HT115 Bluetooth Home Theatre,"<div class=""_30jeq3"">₹1,947</div>",<span>2% off</span>
38,ShowX home theater multimedia speakers 4.1 channel clea...,"<div class=""_30jeq3"">₹1,489</div>",<span>2% off</span>
39,SAREGAMA Carvaan Premium 10 W Bluetooth Home Theatre,"<div class=""_30jeq3"">₹6,790</div>",<span>58% off</span>
